iso3,area_name,period,source_citation,note
ALB,Albania,1987,"Albania Vital Registration  - Deaths 1987 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
ALB,Albania,1988,"Albania Vital Registration  - Deaths 1988 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
ALB,Albania,1989,"Albania Vital Registration  - Deaths 1989 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
ALB,Albania,1992,"Albania Vital Registration  - Deaths 1992 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
ALB,Albania,1993,"Albania Vital Registration  - Deaths 1993 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
ALB,Albania,1994,"Albania Vital Registration  - Deaths 1994 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
ALB,Albania,1995,"Albania Vital Registration  - Deaths 1995 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
ALB,Albania,1996,"Albania Vital Registration  - Deaths 1996 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
ALB,Albania,1997,"Albania Vital Registration  - Deaths 1997 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
ALB,Albania,1998,"Albania Vital Registration  - Deaths 1998 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database. Extracted cause of death data were processed and corrected by the Institute for Health Metrics and Evaluation. Full methods are available in Kyu et al. (2021) Journal of the International AIDS Society.
